Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
23.8,10,50,16.3
24.2,11.3,49.1,15.5
28.1,13,51.3,7.7
31.4,15.8,45.6,7.2
26.9,15.4,51.4,6.4
13.3,53.1,30.6,3
32.3,15.8,44.8,7.1
30.2,16.1,46.8,6.8
24.7,15.3,51.7,8.3
30,12.9,47.6,9.5
33.8,14.8,43.4,8
25.1,12.2,48.6,14.2
24.3,11.2,50.2,14.3
35.7,16.2,43.2,4.9
21,15.2,53.6,10.2
26.4,12.3,47.5,13.8
32,16,44.4,7.6
14.7,17.9,55.9,11.5
31.8,13.5,46.1,8.6
22.5,11.9,48.3,17.4
24.3,11.7,48.1,15.9
30,15.4,46.7,7.8
27,15.5,48.5,9.1
17.6,11.1,51.7,19.5
17.4,8.5,51,23.1
18.3,23.8,44.8,13.1
17.2,10.7,58.8,13.3
21.3,10.2,52.7,15.8
28.3,16.5,47.5,7.7
27.6,10.9,51.7,9.8
9.9,50.9,31.3,7.9
21.4,10.4,51.5,16.8
19.4,10.3,51.8,18.5
29.8,16,46.8,7.4
29.5,15.3,47.6,7.6
26.6,17,47,9.4
27.7,12.1,48.3,12
15.2,22.3,49.5,13
21.2,13.8,53.4,11.7
20.7,11.5,54,13.8
28,13.6,48.3,10.1
15.1,11.1,59.7,14.1
17.4,12.4,56,14.2
23.5,12.5,48.2,15.7
22.4,11.8,50.9,14.9
4.2,81,12.7,2.1
25.4,14.5,47.8,12.3
23.1,11.9,51,14.1
18.5,16.1,47.2,18.2
16.8,19.2,50.7,13.2
24.7,11.7,48.6,15
21.1,11.2,50,17.7
27,13.2,49.4,10.4
19.8,10.4,57.4,12.4
20.5,11.2,49.8,18.4
24.7,13.5,49,12.8
21.3,10.5,53.6,14.6
21.7,12.2,49.6,16.5
22.3,10.7,47.5,19.6
21.2,9.7,50.1,19.1
24,10.9,50.3,14.8
19,11.3,57.2,12.5
17.7,9.1,48.4,24.8
23.6,11.4,48.7,16.3
20.2,11.2,51.6,17.1
21.8,10.3,52.7,15.2
21,10.6,53.4,15
25.6,13,49.9,11.6
18.9,10.1,50.7,20.2
24.3,11.8,48.5,15.4
20.2,10.6,52,17.1
24.1,11.1,50.3,14.6
19.1,10.8,51.8,18.3
25,11.4,49.2,14.3
23.4,12,50.4,14.2
19.3,9.2,48.4,23.1
24.4,11.7,47.3,16.7
22.6,11.3,52.6,13.5
22.3,11.1,52,14.6
19.4,10.4,52.5,17.7
19.6,11.3,54.8,14.3
20.3,10.3,51.9,17.5
23.6,10.7,53.6,12
26.8,12.1,51.4,9.7
18.1,10.1,53.1,18.6
30.5,10.9,47.8,10.8
18.8,9.4,54.3,17.5
28.9,13,50.1,8
17.3,8.8,48.7,25.2
25.3,11.7,52.8,10.1
21.6,11.4,51.9,15.1
17.9,10.3,48.2,23.6
21.2,10.1,52.2,16.6
28.9,13.2,51.5,6.4
22.4,12.4,54,11.2
20.1,9.4,53.5,17
21.9,11.9,53.2,13.1
20.5,9.1,52.6,17.7
17,23.2,51.4,8.4
19.6,12.9,54.5,13
18.6,8.6,50.7,22
13.9,8.5,48.3,29.3
19.6,33.2,42.5,4.7
18.8,9.7,54.8,16.6
18.2,9.9,55.4,16.5
19.4,13.8,54.3,12.6
9.7,51,35.6,3.7
21.3,10.8,53.1,14.8
10,29.3,51.3,9.4
8,49.9,36.6,5.4
19.9,13,52.8,14.2
18.1,8.3,53.1,20.5
13.3,14.3,51.9,20.5
25,11,50.3,13.7
19.9,17.6,48.2,14.3
19.3,10.5,53.2,17
18.7,12,56.7,12.6
24,11.5,52,12.5
17.7,9.3,49.2,23.8
18,10.1,49.9,22
8.5,51.3,28,12.2
20.5,10.6,50.8,18.1
17.8,11.3,51,19.9
13.3,8,45.2,33.5
17.4,10,50.2,22.5
21.3,10.5,51.1,17.1
26.6,11.8,47.5,14
19.1,9.9,53.6,17.4
17,8.7,47.6,26.7
18.3,11.4,56.4,13.9
26.8,11.5,49.2,12.5
21.9,11,52.6,14.6
16.9,7.8,49.1,26.1
20.6,11.2,49.9,18.2
15,8.6,46.5,29.9
24.5,11.3,50.6,13.6
18.3,9.3,51.7,20.7
24.5,10.8,49.6,15
19.7,12.3,50.4,17.7
17,9.2,46.5,27.3
22.1,11.4,50,16.5
16.2,8.4,51.2,24.3
21,11.5,54.4,13.1
22.5,10.7,52.4,14.4
16.7,8.8,50.6,23.9
20.6,9.1,51.2,19.1
19.6,10.2,53.3,16.9
17.2,9.7,51.5,21.6
16.9,10,56.9,16.2
15.3,8.3,49.9,26.5
15.9,8.8,49.6,25.7
19.5,9.8,52.3,18.3
19,11.3,53.7,15.9
22.7,10.2,51.3,15.9
18.5,9.5,50.1,21.9
17.4,9.3,54.1,19.2
16.9,8.6,49.3,25.2
21.2,10.9,50.8,17
17.8,8.9,50.7,22.6
17.7,10,51.5,20.8
19.6,10.2,46.9,23.4
15.6,8.5,46.8,29.1
17,8.2,45,29.8
17.5,8.3,48.8,25.4
22.5,10.8,52.4,14.4
24,11.4,52.3,12.3
21.8,9.8,51.8,16.6
27.3,11.5,49,12.2
17.9,9.9,49.5,22.7
15.3,9.7,51.5,23.4
20.2,11.6,52,16.3
26.4,12.1,48.1,13.4
23.5,10.8,51.1,14.6
19.3,10.2,51.3,19.1
19.1,9.2,50.8,20.8
21.3,10.2,53,15.5
24.5,11,51.3,13.2
21.8,10.6,52.4,15.2
21.8,11.4,55.8,11
20.8,11.2,52.6,15.5
25.1,10.8,50.8,13.3
23.1,11.3,50.5,15
24,10,52.1,13.9
24.3,9.8,54.5,11.4
22.9,10.4,52.3,14.4
27,12.4,50.4,10.2
25.4,11,51.2,12.4
19.2,9.8,48.5,22.5
30.8,12.8,49.4,7
19.9,11.1,50.2,18.8
25.6,10,51.4,13
22.5,11.5,49.4,16.6
19.5,11.5,53.6,15.4
24.1,11.3,49.3,15.3
22.1,10.6,50.4,16.9
20.3,10.5,51.7,17.5
21.5,9.6,58.1,10.8
21.7,10.3,51.4,16.6
18.8,9.6,50.7,20.9
20,10.3,51.3,18.4
20.4,10.6,51.6,17.3
14.5,8.5,51.7,25.3
25,12.3,47.7,15
15,10.8,50.5,23.7
23.5,11.7,49.1,15.7
24.8,11.2,48.5,15.5
22.8,11.4,49.2,16.6
23.5,11.7,48.9,15.8
24.6,11.9,48.8,14.7
17.9,10.2,51.1,20.8
20.8,9.2,53.3,16.6
17.2,9.8,50.2,22.8
18.8,10.3,49.5,21.4
17.3,9.9,52,20.9
17.5,9.1,48.7,24.7
18.9,9.6,51.3,20.2
18.6,7.8,48.6,25
17.3,7.4,52,23.3
20.7,9,49.5,20.8
16.8,9.8,48.1,25.3
16.8,8.7,51.5,23
19.8,9.3,50.2,20.7
16.2,8.1,48.8,26.8
16.8,10.3,53.5,19.4
18.3,10.1,47.4,24.3
18.3,7.8,45.4,28.5
16.7,8.7,53.7,20.9
20.2,8.7,47.9,23.1
20.2,8.9,54.6,16.3
20.6,9.4,54.2,15.8
19.5,10.1,48.8,21.6
17.1,9.2,50.6,23
19,10.9,50.6,19.5
14.5,9.2,47.9,28.4
19.4,10,47.9,22.7
16,8.8,49.4,25.8
17.3,10.3,53.2,19.1
21.9,10.4,49.3,18.5
17.2,10.6,50.8,21.4
19.8,10.2,52.7,17.2
24.3,10.7,47.2,17.8
29.4,11.5,47.6,11.5
20,10.8,48.9,20.3
16.4,9.3,48.5,25.8
19.3,9.1,52,19.6
24.9,11.4,50.8,12.9
28.2,11.5,49.4,10.8
16.5,9.4,49.6,24.5
17.6,8.6,51.1,22.7
26.1,10.8,49.9,13.3
16,9.4,48.4,26.2
23,11.1,48.7,17.2
17.1,10.9,53.8,18.1
22.5,11.2,53,13.3
26.7,12.2,51.1,10
22.1,10.6,54.6,12.7
15,9,47.3,28.7
22.1,11.2,51.1,15.6
22,16.1,51.8,10.1
27.1,11.5,48.2,13.2
16.9,8.4,50.3,24.4
26.4,12.1,50,11.5
29.5,13.1,47.8,9.6
16.8,9.4,48,25.9
26.9,11.2,50.1,11.8
24.5,11.9,50.2,13.5
24.8,11.7,49,14.5
17.9,9.7,50.5,21.8
18.4,9.8,50.5,21.3
21.1,10.6,52.2,16.1
21.6,10.9,53.3,14.2
26.3,11.5,48.1,14.1
17.4,10.4,49.8,22.4
22.8,9.5,53.8,13.9
30.8,11.2,47,11
18.9,10.3,52.9,17.8
18.4,10.3,50.9,20.3
17.9,9.3,48.6,24.1
26.7,11.9,51.4,10
20.2,9.6,51.9,18.3
25.7,12.8,52.6,8.9
15.5,8.1,46.3,30.1
23.6,10.5,55.4,10.5
20.2,21.4,51.8,6.6
16.4,12.2,59.3,12.1
22.5,10.6,50.6,16.4
15.8,9,50.1,25.1
20.1,17.7,53.2,9
17,8.2,48.8,26
19.9,11.7,50.9,17.4
21.2,10,50,18.9
16.7,9.5,53.4,20.4
23.1,10.6,50.7,15.6
19.5,10.1,50.9,19.6
23.7,10.7,53.2,12.4
17.4,9.2,52.3,21.1
18.8,9,51,21.2
19.5,10.6,48.4,21.5
23.4,11.3,51.2,14.1
20,10.7,51.8,17.5
14.5,6.3,45.9,33.3
18.2,7.9,46.6,27.3
20.2,7.1,50.4,22.3
17.1,8.1,51.5,23.4
18.2,6.8,49.6,25.3
19.8,8.5,51.1,20.5
25,11.1,46.9,17
25.9,11.9,50.2,12
27.8,11.5,48.6,12
17.5,7.1,51,24.3
22.4,9.7,50.5,17.4
19.9,10.1,50.6,19.4
17.1,6.7,51.4,24.7
20,9.3,53.9,16.8
17.7,8.9,54.7,18.6
17.2,7.8,52.8,22.2
15.7,8.8,55.2,20.3
18.5,7.7,53.3,20.5
19.9,8.8,55.5,15.8
17.4,9.4,58.4,14.8
22,10,52.8,15.2
17.3,8.1,51.1,23.4
16.9,7.6,54.7,20.8
20.7,10.6,50.9,17.8
26.1,13.3,49.8,10.8
23.4,9.9,49.5,17.2
30.8,10.2,49.1,9.9
23.2,10.7,51.5,14.6
26.5,13.6,48.4,11.5
31.4,12.7,47,8.8
17.9,9,52.8,20.3
23,10.2,53.1,13.6
27,15.7,48.6,8.6
25.9,14.9,49.8,9.4
31.2,13.7,46.3,8.9
26.9,10.5,49.3,13.2
32.7,13.3,47.2,6.7
31.1,15.2,46.7,7
26.8,16.4,51.6,5.3
29,11,48.2,11.8
30.1,15.2,47.9,6.8
33.1,13.6,47.2,6.1
19.3,8.1,54.2,18.4
22.9,30.4,41.4,5.3
28.6,12.9,50.8,7.7
27.2,11.2,50.3,11.3
21,13.3,49.3,16.5
29.4,15.4,49.1,6.1
26.3,10.9,51.3,11.5
28.5,11.9,48.1,11.5
35.6,13.3,44.8,6.2
30.9,10.4,48.1,10.7
29.8,12.7,48.5,9.1
23.9,9.7,50.4,16
26.2,10,50.5,13.3
26.1,10.1,49.8,14
24.4,9.9,53.5,12.2
18.8,9.9,55.2,16.1
23.8,9.8,51.2,15.3
17.9,9,52,21.1
20.2,9.9,51.8,18.1
17.7,9.4,49.8,23.1
23.8,11.1,51.7,13.4
16.2,9,51.5,23.3
17.1,7.2,56.5,19.2
21.7,10.9,52.7,14.7
23.2,11.7,52.2,12.9
17,8.9,51.8,22.3
16.4,9.3,57,17.4
20.3,8.7,50.2,20.8
29.1,11.4,48.9,10.5
17.8,8.6,52.1,21.5
28.4,14.1,47.7,9.9
19.1,8.5,53.5,18.9
29.1,14.3,49.4,7.2
18.1,8.5,54.1,19.2
19.3,9.2,52.4,19.1
17,10.4,53.7,18.8
18.8,9.2,53.6,18.5
16.4,9.8,52,21.8
19.6,8.5,52.7,19.1
18.2,8.1,51,22.7
17.3,8.5,53.4,20.9
15.5,8.7,52.2,23.7
18.7,9.1,51.4,20.8
19.4,9.5,52.4,18.8
18.8,8.7,54,18.4
19.1,9.2,55.1,16.7
18.7,9.2,50.1,22
20,8.9,53,18
18.8,9,52.6,19.5
19.9,8.4,52.5,19.2
18,9.6,52.6,19.8
20.7,9,51,19.3
23.5,10.4,50.8,15.2
20.9,9.6,50.7,18.8
19.1,10,53.1,17.8
26.5,12.4,48.8,12.3
22.9,10.7,50.7,15.7
26.7,12.2,50,11
22.4,14.4,52.4,10.7
17.1,9.9,53.3,19.7
18.3,8.9,51.2,21.6
25.8,10.6,51.8,11.8
22.8,12.1,53.5,11.7
21.3,10.3,52.5,15.9
30.3,13.8,48.8,7.1
17.2,7.6,49.4,25.9
18.8,8.5,50,22.7
18.7,9,52.4,19.8
31.7,12.5,48.3,7.5
26.4,14.7,48.9,10
26.7,10.8,50.6,11.8
16.9,7.8,50.8,24.5
19.2,9.2,51.3,20.3
18.5,9.5,50.7,21.3
23.7,16.9,50.5,8.9
18.8,8,51.3,21.9
25.3,14,51.6,9.2
18.3,8.8,52.9,20
18.8,9.4,52,19.7
14.4,20.3,51.5,13.9
21.9,13.6,51.6,12.9
16.5,8.8,54.1,20.6
17.4,10.2,52.2,20.2
18.7,8.5,54.6,18.2
21.2,14.7,50.7,13.3
18.1,12.6,50.9,18.4
20,9.3,54,16.7
12.7,40.4,39.6,7.4
28.2,14.1,50,7.7
17.2,9.2,49.2,24.5
20.5,10.4,56.2,12.8
18.4,7.9,49.5,24.2
25.8,9.8,49.4,14.9
16.9,12,49.8,21.3
19.5,8,53.9,18.6
15.6,7.4,52,25.1
16,19.2,44.8,20
17.7,7.4,54.3,20.6
18.3,7.9,51.2,22.7
17.3,8.3,49.5,24.8
19,8.3,50.1,22.5
19.9,7.2,52.3,20.5
18.8,7.7,50.9,22.6
17.4,8.5,51.3,22.9
19,8.1,52.8,20.2
15.2,7.7,47.2,29.9
14.1,9.2,50.3,26.4
18.7,9.1,48.5,23.6
15.6,7.5,51.5,25.4
18.4,7.3,47.5,26.9
18.2,8.3,48.6,24.9
18.6,8,49,24.4
19.7,8.8,51.5,20.1
20.1,8.3,50.7,21
18.8,9.5,52.6,19.1
16.3,9.5,49.3,24.8
18.9,7.6,48.8,24.7
18.3,7.3,49.9,24.5
20,8.5,53.2,18.3
18.1,7.7,51,23.1
18.4,8,48.7,25
20.8,9.4,51.9,17.9
22.9,9.8,51.2,16.1
19.4,8.9,52.6,19.1
17.4,8,55.6,19
19.1,11,45.5,24.4
17.1,7.7,48.6,26.5
18.9,9.1,54.5,17.5
22.1,9,55.5,13.4
19.7,8.9,53.4,18
20.6,8.2,53,18.1
19.2,8.9,54,17.8
20.2,9.5,51,19.2
16.8,7.7,50.5,25
20.1,9.9,55.3,14.6
22.5,9.7,52.8,15
20.5,10.8,54.6,14.1
13.9,8,63.9,14.2
20.8,11.7,50.6,16.9
22.2,11,48.9,17.8
25.1,10.6,52.9,11.4
20.4,7.5,53.4,18.7
24.7,10.9,50.5,13.9
23.9,11.9,49.7,14.6
23.1,13.4,53.8,9.7
3.6,67.3,24.6,4.5
15.5,19,52.5,12.9
22.5,21.3,46.4,9.8
32.2,13.5,46.4,7.9
30.1,15.8,47.7,6.4
29.5,12.9,46.7,10.9
16,10.1,54.3,19.6
17.7,9.6,58.4,14.4
34.6,13.4,47.8,4.3
6,71.4,20.2,2.4
16.5,38,40.4,5.1
10.6,35.7,48,5.7
16.3,7.7,50,26
21.5,11.9,52.7,14
22.2,10.4,55.1,12.3
27,11.2,47.5,14.3
18.7,11,53.7,16.6
18.5,9,56.8,15.7
6.2,68.2,23.4,2.2
26,12.9,54.7,6.4
29.2,11.3,51,8.5
22.1,10.4,50.7,16.8
17.6,11.3,56.3,14.8
19.4,10.8,52.1,17.7
15.5,9.4,49.9,25.2
23.9,10.8,52.4,13
21.7,12.8,56.3,9.3
28.6,13.1,45.9,12.4
15.4,9.5,55.4,19.7
16.3,11,47.9,24.8
17.8,18.8,56,7.4
21.2,9.7,50.9,18.2
16.9,9.3,49.1,24.7
24.5,12.3,51.3,11.9
18.6,8.9,53.5,19.1
19.6,9.5,53.4,17.6
17.8,9.3,56.1,16.8
21,14,57,8.1
19.9,10.2,54.2,15.8
26.8,12.1,50.1,10.9
28.6,14.4,51.9,5
16.8,8.7,47.9,26.6
18.8,9.4,50.3,21.6
18.7,10.5,52,18.8
23.5,10.7,52.4,13.3
23.1,12,51.5,13.4
25.4,12.3,49.6,12.7
17.5,8.5,53.9,20.1
22,10,52,16
19.2,9.8,54.2,16.7
17.9,8.9,51,22.2
18.7,9.1,51.4,20.8
18.9,9.2,49.5,22.4
22.6,9.7,53.9,13.8
19.4,9.2,52.9,18.6
27.9,11.9,48.4,11.9
20,10.1,56.6,13.3
20.6,9.5,50.6,19.3
16.5,9.4,56.1,18.1
24,9.9,56.5,9.6
18.5,9.5,53,19.1
19.8,10.5,52.2,17.4
18.1,10.5,54.3,17.1
24.2,10.4,49.9,15.5
16.5,10.2,55.1,18.2
21,9.7,51,18.2
18.8,9.8,54.2,17.2
16.4,10.1,57.2,16.3
18.1,9.6,57.1,15.2
17,8.3,56,18.7
17.7,9.3,51.1,22
14.8,9.4,53,22.8
17.9,9.6,52.7,19.8
19.8,10.8,51,18.4
20,9.2,53.3,17.5
18.7,9.3,55.1,16.9
15.3,8.2,51.5,25
18.1,10.2,54,17.7
19.7,9.9,53.8,16.7
17.2,11.8,58.2,12.7
23.5,9.6,50.5,16.4
18.2,8.9,59.6,13.4
22.2,10.1,52.2,15.5
19.2,8.4,51.6,20.8
21.3,10.4,53.8,14.6
16.1,7.5,49.8,26.6
20.3,9.1,54,16.6
17.5,8.6,52.4,21.5
25.9,10.8,49.5,13.8
19.5,10.5,51.4,18.7
13.3,9.8,53.7,23.1
18.2,8.5,51.1,22.2
21.7,12,56,10.4
17.4,8.2,52.7,21.7
18.7,10.1,50.3,20.8
14,7.1,47.2,31.7
16.3,8.6,52,23.2
15,9.3,53.3,22.3
15.7,8.7,52.9,22.6
20.8,9.6,51.6,18
18,6.9,50.8,24.3
22.7,10.7,49.7,16.9
18.7,9.4,51.7,20.2
20.3,9.2,53.9,16.6
17,9.3,51.9,21.8
16,9.1,52.6,22.3
20.4,9.8,53.1,16.7
22.5,10.1,51,16.3
20.1,9.9,52.8,17.1
21,10.9,50.8,17.3
22.1,11.4,49.3,17.2
17.4,12.9,57.2,12.5
17.4,9.7,51.8,21.1
19.2,12.3,51.6,16.8
18.7,11.9,54.3,15.1
20.8,10,48.2,21
19,9,51.2,20.9
16.3,9.1,50.1,24.4
23.5,11.1,49.7,15.7
19,28.5,46,6.5
23.2,13.1,50.7,13
20.9,20.1,51.3,7.7
26.4,12.7,47.7,13.1
21.4,13.2,52,13.4
22,12.5,51.8,13.7
22.4,12.4,49.5,15.7
25,12.5,50.4,12.1
21.9,12.3,51.9,13.9
26.4,12.8,48.9,12
24.2,12.7,48.3,14.8
17.9,10.9,50.9,20.3
17.4,11.1,46.7,24.8
21.8,10.7,48.4,19.1
14.3,9.6,48.2,28
15.4,9.6,49.7,25.3
20,10.1,49.2,20.8
17.9,10.3,53.3,18.5
17.5,11.4,53.7,17.4
19.9,9.8,51.1,19.2
20.1,11,49.2,19.7
17,9.5,52.3,21.2
19.7,10.1,47.6,22.6
16,8.6,48.5,26.9
14.2,7.9,48.9,28.9
27.7,13.3,48.3,10.8
18.9,9.9,49.7,21.6
15.5,10,52.1,22.4
19.3,9.9,52.2,18.7
20.1,11.1,50,18.8
17.2,9.9,51.7,21.2
16.4,9.6,49,25
17,10.9,50.2,22
18.2,8,48.3,25.5
13.7,7.1,47.3,31.9
16.1,9.4,55.5,19.1
19.5,9.5,50.1,20.8
23.8,10.2,51,15.1
20.8,9.7,50.4,19.1
16.7,7.7,52.5,23.2
15.3,7,49.5,28.2
17.2,9.5,53.4,20
23.9,11,49.9,15.1
25,10.4,51.3,13.3
18.8,11,55.6,14.6
15.1,8.3,50.9,25.7
23.4,12,51.1,13.5
14.9,8.4,48.5,28.2
19.6,17.6,52.9,9.9
15.2,8.1,47.7,29.1
18.4,8.9,53.3,19.4
16.9,24.4,47.7,11
23.1,10.2,52.1,14.7
21.3,8.6,49.9,20.2
20,10.1,48.4,21.6
18.7,8.2,50.7,22.3
17.9,10.2,55.6,16.3
26.6,10.4,56.6,6.4
16.1,7,52.4,24.4
19.7,7.6,53.2,19.4
20.5,8.9,52.4,18.3
15.9,8,52.6,23.6
17.7,10.6,53.7,18
16.5,9.2,48.9,25.4
20.8,9.2,51.7,18.3
17.2,9.6,57.9,15.3
18.5,12.3,56.9,12.3
21.6,10.8,49.4,18.2
16.5,8.2,51.7,23.7
15.4,7,44.9,32.7
19,10.4,51.9,18.7
23.3,8.8,51.8,16.1
22.5,11.4,52.6,13.4
17.8,8.1,50.6,23.5
18.4,8.5,53.3,19.8
18.6,9.8,56.7,15
17.9,9.1,52.7,20.3
21.7,10.5,49.4,18.3
20.4,9.8,52.3,17.5
21.6,10.9,50.8,16.7
21,11.1,54.2,13.6
16,8.8,51.7,23.4
19.2,9,56.3,15.6
22.6,11.3,49.7,16.4
19.5,10.3,51.2,19
18.7,9.7,55.8,15.8
23.6,12.7,47.8,15.9
23.6,9.7,51,15.7
21.2,10.8,48.9,19.1
14.4,7.4,50.1,28.1
14.6,9.9,54.8,20.8
17.5,8.4,49.3,24.7
16.5,9.1,49.9,24.6
17.4,8.8,53.5,20.4
18.9,9.7,56,15.4
24.7,12.1,52.4,10.8
15.9,9.5,51.6,23
24.6,10.5,50.5,14.4
22.9,10.2,58.8,8.2
20.1,9.9,55.9,14.1
18.5,10.2,55,16.3
17.7,8.9,52.3,21.1
23.6,11.8,55,9.6
16,9.3,50.4,24.3
16.4,9.1,50,24.4
19.5,9.9,53.5,17.1
18.4,10.6,59.4,11.6
17.1,9.5,56.7,16.7
14.7,8.4,47.3,29.6
21.7,11,55.1,12.2
21.1,7.8,50.3,20.8
18.5,7.9,51.2,22.4
18.7,8.7,50.7,21.9
17.1,9.3,54,19.6
16,8.8,49.5,25.7
24,10.1,48.4,17.5
26.6,10.7,48,14.8
29.2,13.6,48.4,8.8
27.3,14.7,49.1,8.9
26.1,11.8,51.2,10.8
22.9,13,53.5,10.6
28.5,14.3,49.4,7.8
28.6,12.4,48.1,10.9
23.5,11,52.5,13
15,10,49.9,25
23.7,11.6,52.5,12.2
21.1,10.4,48.5,20
22.3,10,55.6,12.1
18,9.2,53.4,19.3
22.5,10.6,52.2,14.7
21.6,10.9,52.3,15.2
16.3,9.5,54.1,20
15.6,8.2,54.7,21.4
16.1,8.1,46.3,29.6
15.1,8.4,49.3,27.3
14.9,9.1,47.5,28.5
19.5,9.5,52,19
18,10.1,50.1,21.7
14.2,10.8,57.3,17.6
24.5,11.9,50,13.6
23.8,10.9,52.6,12.7
18.2,11.1,53.3,17.4
16.9,11.9,55.2,16
21.6,11.5,52.6,14.3
18.5,10.4,51.5,19.6
15.8,11.8,57.9,14.4
18.6,9.5,49.3,22.7
21.6,10.3,51.6,16.5
22.4,9.9,49.8,17.9
17.5,9.8,50.5,22.2
16.1,9.1,48.7,26.1
16.7,9,49.2,25.2
25.3,11.6,56.7,6.4
24.2,12.7,47.9,15.2
30,11.8,47,11.1
24.5,12.1,50.2,13.2
12.7,6.9,49.7,30.6
18.2,8.8,51.4,21.5
15.6,10.3,52.6,21.5
24.8,12.4,49.7,13.1
20.5,10.5,50.6,18.4
22.1,10.5,48.9,18.5
17.4,9.8,49.7,23.1
11.8,39.1,38.8,10.3
18.1,10.7,52.5,18.7
19.2,10.8,51.8,18.2
10.6,37.3,44.1,8
17.5,10.2,57.1,15.1
24.1,10.7,48.7,16.5
14.4,20.6,56.2,8.9
18.8,9.4,51.8,20.1
17.5,11.5,57.3,13.7
27.7,12.5,46.6,13.2
18.9,11,56.1,14
17.8,10,55,17.2
19.6,12.5,56.7,11.2
17.2,12.2,57.4,13.2
17.6,11,58.1,13.3
19.9,11.8,55.8,12.4
18.8,9.2,51.4,20.6
13.3,14.7,60.4,11.7
21.9,12.6,55.5,9.9
22.2,10.3,54.4,13.1
12.8,5.7,43,38.4
12.6,7.3,43,37.1
21.6,9.3,44.6,24.4
16,8,49.2,26.9
16.8,9.2,51,22.9
13.5,7.8,48.1,30.5
16.2,7.9,47.8,28.1
15.4,7.2,53.4,24.1
14.4,8.1,49.6,27.9
16.3,9.4,49.3,25
14.5,8.3,43.7,33.6
15.4,9.1,50.6,24.9
15.5,7.9,48.9,27.7
18.3,8.2,49.8,23.7
17.2,7.6,49.5,25.7
21.5,10.1,50.1,18.3
16.1,8.2,52.7,23
13.6,8.6,54.1,23.8
16.5,10.3,50.7,22.5
13.2,8.1,50.1,28.5
12.5,7.3,47.4,32.7
16,8.6,51.3,24.1
14,8.6,53.4,24
14,15.5,40.3,30.1
15.6,8.4,53.3,22.7
18.3,8.5,49.2,24
14.5,7.4,46.7,31.4
14.3,8.3,49.8,27.6
15.2,8.1,49.8,26.9
20.4,8.9,53.4,17.3
16.8,9.2,49.4,24.7
17.8,9.1,51.9,21.2
17.1,7.3,46.4,29.2
15.1,8.9,51.8,24.2
16.2,8.7,52,23.1
15.5,8.9,52.4,23.2
17.5,8.3,46.4,27.8
18.4,8.9,53,19.7
22.8,11.1,52.2,13.9
16.5,8.6,52.1,22.8
19.8,9.5,50.4,20.2
18.5,11.6,53.7,16.2
21.8,10.7,54.9,12.6
17.8,10.6,51.7,19.9
26.5,11.4,52,10
25.8,12.9,51.6,9.8
17.8,8.3,52.3,21.6
16.1,10.1,54.9,18.9
19.4,9.1,51.2,20.3
19.1,10.4,54.3,16.2
24.4,13.5,53.9,8.2
19,9.1,52.7,19.3
20.1,9.1,52,18.8
18.6,8.3,52.1,21
21.3,9.5,50.8,18.3
19.4,10.1,51.5,19
16.3,8,48.8,26.9
13.7,6.8,44,35.4
27.8,11.9,47.6,12.7
12.7,7.6,47,32.7
18.6,8.6,50.4,22.4
15.7,8.4,49.1,26.8
14.5,7.6,49.1,28.9
17.9,9.3,51.7,21.1
17.4,8.3,52.1,22.2
18.5,9,49.5,22.9
17.3,7.4,54.2,21.1
14.1,7.7,50.5,27.7
17.4,8.5,53.1,21
19.7,10.4,55.6,14.3
23.7,12.4,54.5,9.5
21.2,9.7,52.3,16.9
21.3,10.9,54.3,13.4
16,8,51.2,24.9
17.5,10.3,51.1,21.1
16.5,8.6,51.7,23.1
20.6,9.6,50.8,19.1
24.2,10.7,51.9,13.1
25.8,12.1,47.3,14.8
20.6,9.4,50.5,19.5
20.1,8.6,49.1,22.3
13.9,8,51.9,26.1
16.5,8.9,51.1,23.5
14.7,6.9,49.2,29.2
16.6,9,51.5,23
15.6,8.9,48.8,26.8
20.2,9,53,17.8
15.2,6.2,46.4,32.3
15.6,6.7,48.9,28.8
15.4,8.5,47,29.1
15.6,9.7,51.6,23.2
18.9,9.5,58.3,13.3
15.1,10.8,51.3,22.9
15,11.7,48.5,24.9
16.9,19.6,51.9,11.6
14.1,28,48,9.9
17.7,9.9,45.8,26.7
18.8,10,52.5,18.7
8.7,28.8,51.3,11.2
15.1,20.7,44.5,19.7
13.4,37.2,40.9,8.5
17.4,9.6,54.8,18.1
17.2,11.8,58.6,12.4
22.2,10.3,52.3,15.3
13.1,26.9,48.6,11.4
18.6,8.7,45.9,26.7
17,10.2,54.9,18
16,9.9,51,23.1
9,47.9,28.6,14.5
17.7,6.8,48.1,27.4
18.7,8.4,47,25.9
15.6,7.9,44.8,31.7
16.5,10.5,57.3,15.7
24,9.7,52.4,13.9
17.8,11.5,49.3,21.3
20.5,9.3,49.9,20.2
25.7,10.8,50.8,12.6
9.5,31.8,48.5,10.2
22.7,9.7,49.9,17.6
15.1,7.4,47.3,30.3
14.7,27.6,49,8.7
20.2,10.9,49.6,19.3
13.9,26.6,52.5,7
19.4,10.2,50.5,19.9
18,7.8,49.9,24.4
25.2,15.5,51.9,7.4
18.3,10.5,52.1,19.2
27,13.4,51.3,8.4
15.4,7.8,49.6,27.3
29.2,12.9,48.7,9.3
