Population 0 to 15 years,Population aged 16 to 24 years,Population aged 25 to 64 years,Population aged 65 years and over
17.1,8.3,62.4,12.2
15,7.6,68.5,8.9
17.4,7.8,47.5,27.4
19.7,8.9,53.9,17.6
19.8,9.8,50.3,20.1
15.7,7.9,49.6,26.8
20.5,9.5,50.7,19.3
19.6,9.6,51.6,19.1
22.4,9.8,55.1,12.7
20.7,10.9,53,15.4
19.6,8.1,52.5,19.8
21.9,10.9,56.3,10.9
24.3,10.5,53.3,11.9
22.7,9.8,53.3,14.2
23.2,9.9,55.2,11.7
20.4,9.6,53.1,16.9
20.3,7.3,51.3,21
19.3,11.1,55.9,13.6
18.5,9.4,52.8,19.3
22.2,6.6,61.3,9.8
21.4,9.3,56.8,12.5
22.7,8.2,50.4,18.6
19.7,9.6,58.6,12.1
20.6,10.5,55.2,13.7
19.5,9.2,53.6,17.7
22.6,10.3,55.4,11.7
24.2,11.3,53.9,10.5
20.9,16,52.1,11.1
20.9,9.7,56.1,13.3
23.5,11.7,53,11.8
22.8,11.6,49.6,16
25,10.2,53.5,11.3
21.8,11.5,49.7,17.1
26.7,11.8,51.5,10
20.9,10.5,50.4,18.3
24,9.9,50.3,15.9
16.8,9,53.9,20.2
16.8,9.6,48.1,25.4
19.8,9.3,51.7,19.3
19.7,10.4,52.5,17.4
21.4,9.7,52.4,16.6
16.8,8.8,53.3,21.1
19.7,9.9,57.2,13.2
18.1,9.9,52.3,19.7
14.3,10.7,48.2,26.9
21,9.6,57.3,12.1
23.3,10.6,54.2,11.9
17.5,9.7,47.7,25.1
18.3,8.8,48,24.9
16.1,9.7,52.2,22.1
16.9,11.4,53.5,18.1
18,9.9,54.3,17.8
15.8,10,52.7,21.6
16.3,9.9,47.7,26.2
16.4,10,51.8,21.8
20.9,9.8,52.2,17.1
20.1,10.2,49.4,20.3
22.9,10.7,51.6,14.8
17,10.5,49.7,22.9
23.8,10.8,52.8,12.6
17.3,6.6,52.6,23.5
19.6,7.6,54.2,18.6
19.5,8.4,53,19.1
20,9,53.9,17.1
18.7,8.4,51.7,21.2
18,9.1,51,21.8
17,8.6,52.9,21.5
20.1,8.2,53.8,17.9
21.6,8,54.4,16
20.6,8.9,57.4,13.1
19.6,8.7,50.8,20.9
17.3,9.6,51.7,21.3
23.7,10.3,52.9,13.1
15.1,31,45.2,8.7
13.9,33.6,44.9,7.6
20.1,12.9,51.6,15.4
22.4,12.1,52,13.5
23.1,13.1,51.9,12
28.9,10,52.9,8.2
24.4,9.8,55.7,10.1
21.4,13.4,55.2,10
25,9.5,57,8.5
27.1,10.7,52.5,9.7
22.3,11.5,53.8,12.3
24,11.7,52.9,11.4
25.4,10.8,54.2,9.6
26.6,10.6,55.1,7.6
24.8,9.5,54.1,11.6
24.2,10.1,57.1,8.7
19.8,8.4,60.9,10.8
24.9,8.1,57.4,9.5
18.5,8.4,59.3,13.8
20.6,9,59.2,11.2
23.7,10,54.6,11.7
27.7,11.4,50.9,10
17.2,15.1,55.4,12.2
19.7,9.3,55.6,15.4
19.7,8.3,57.9,14.2
19.9,9.9,58.2,12
19.7,10,56.8,13.5
20.4,10.5,56.5,12.6
18.7,7.9,59.8,13.6
21.9,10.7,56.4,10.9
22.8,8.8,58.2,10.2
21.5,8.8,58.2,11.5
21.2,9.4,58.2,11.2
23.1,8.1,57.7,11.2
23.7,7.7,60.4,8.2
18.9,10.9,55.6,14.7
23.2,9.9,55,11.9
22.8,10.5,55.8,10.9
21.9,9.9,55.1,13
24.1,10.9,53.1,11.9
21.6,10.4,54.7,13.2
26,10.4,55.5,8.1
24.8,11.2,53.6,10.4
23.1,14.3,54,8.6
22.8,9.7,53.5,13.9
20.3,11.2,59.1,9.3
18.3,13.2,58.1,10.3
15.8,13.2,62.7,8.2
16.2,11.1,60.9,11.9
22.1,13.9,54.8,9.2
18,10.1,64.8,7.1
13.2,17.2,62,7.5
16.5,12.9,59.9,10.7
18,10.6,60.7,10.7
16.2,17.1,57.4,9.3
14.3,12.9,66.8,6
19.4,12.3,60.8,7.5
15.5,9,66.2,9.3
16.2,9,66.3,8.5
14,24.8,53.2,7.9
16.6,10.2,62.5,10.7
14.2,10.5,65.7,9.6
15.9,11.7,62.4,10
18.5,20.1,51.5,9.8
12.6,11.9,65.7,9.8
12.2,19,60.6,8.2
10.4,27.8,55.8,6
17,19.3,55.5,8.1
19.1,9.7,57.9,13.3
20.8,10,54.2,15
19.6,7.9,58.9,13.7
15.4,7.6,63.8,13.1
19.9,9.6,52.7,17.8
15,7.8,61.5,15.7
17.6,7,60.3,15.1
19.7,6.3,57.3,16.7
17.5,7.6,59.1,15.8
16.4,13.5,57.7,12.5
18.1,8.6,56.8,16.5
13.6,8.8,60.8,16.7
14,15,60.3,10.6
13,9.3,58.6,19
13.1,10.9,62.5,13.5
16.3,8.7,60.9,14.1
15.3,11.4,60.5,12.7
14.4,5.6,56.9,23.1
15.8,8.6,57.2,18.5
17,9.7,59.7,13.6
17.3,8.3,58.5,15.8
24.6,7.4,52.8,15.2
18.2,17.6,46.7,17.5
21.6,13.6,53,11.8
24.4,10,56.6,9
18.6,19.5,52.6,9.2
23.1,11.5,54.1,11.3
22.2,7.6,57.3,12.8
21,7.5,55.1,16.4
15.9,9.8,63,11.3
16,28.3,45.6,10
13,19.7,59.3,8
19.5,8,53.9,18.6
15.2,10.5,60.6,13.7
21.1,7.5,51.2,20.2
